"","numemp Min.","numemp Median","numemp Mean","numemp Max.","numemp Sum","asset Min.","asset Median","asset Mean","asset Max.","asset Sum","RWAJT Min.","RWAJT Median","RWAJT Mean","RWAJT Max.","RWAJT Sum","RBCT2 Min.","RBCT2 Median","RBCT2 Mean","RBCT2 Max.","RBCT2 Sum","rbc1rwaj Min.","rbc1rwaj Median","rbc1rwaj Mean","rbc1rwaj Max.","rbc1rwaj Sum","rbcrwaj Min.","rbcrwaj Median","rbcrwaj Mean","rbcrwaj Max.","rbcrwaj Sum"
"19921231",0,28,128.3,70420,1787800,16,59420,328400,163800000,4588741815,"0","32320","225600","156300000",3144040983.35,0,343,5111,5780000,71419848.93,-454.9,14.5,18.14,3425,252764.816285595,-454.9,15.65,19.28,3426,268592.257329659
"19930331",0,28,128.4,71100,1767338,194,59460,331000,167200000,4570264430,NA,NA,NA,NA,0,0,349,5195,5763000,71723384.72,-1764,14.96,18.84,4412,259340.502301413,-1764,16.11,19.99,4412,275130.102154097
"19930630",0,29,130.5,69790,1774367,144,59960,338800,168600000,4620579623,NA,NA,NA,NA,0,0,352.4,5425,6648000,73991776.16,-328.4,15.1,18.76,2919,255012.923580585,-328.4,16.23,19.91,2919,270611.920362149
"19930930",0,29,132,70130,1775298,311,60810,346900,1.76e+08,4679592061,NA,NA,NA,NA,0,0,363,5547,6664000,74820616.99,-415.7,15.17,18.52,1443,249100.39129858,-415.7,16.3,19.67,1443,264507.150026216
"19931231",0,29,134.7,69990,1789683,1032,61960,356000,175700000,4743304253,"0","34010","241300","159800000",3205923614.46,0,367,5627,6715000,74976390.04,-466,15.16,18.23,825.1,242189.007376549,-466,16.32,19.38,825.1,257384.253366483
"19940331",0,29,135.8,70510,1782662,218,62440,370200,199200000,4874344130,NA,NA,NA,NA,0,0,372,5734,6772000,75499929.92,-579.1,15.43,18.55,738.6,243494.128389611,-579.1,16.54,19.7,738.6,258590.812199274
"19940630",0,30,137.5,67490,1780940,1062,62650,378600,213800000,4918146931,NA,NA,NA,NA,0,0,380.9,5845,6854000,75935782.49,-652.3,15.38,18.89,795.5,244604.738763343,-652.3,16.54,20.03,795.5,259445.860155257
"19940930",0,29,137.5,61740,1756602,1068,63360,386000,210300000,4947625799,NA,NA,NA,NA,0,0,387,6059,7377000,77664237.58,-110.7,15.32,19.05,734,243478.137956713,-110.7,16.48,20.19,734,258013.893931957
"19941231",0,30,139,62060,1752575,1077,64250,398300,210500000,5036042960,"0","36590","270800","170300000",3413611294.15,0,392.9,6327,7851000,80001564.25,-96.87,15.3,19.1,1939,240803.726275533,-96.87,16.44,20.24,1939,255111.056826945
"19950331",0,30,140.1,62680,1732644,1078,64360,415000,228400000,5144645838,NA,NA,NA,NA,0,0,396.2,6524,7940000,80879857.68,-400.6,15.44,19.49,1917,240982.97114553,-400.6,16.58,20.63,1917,255011.679547112
"19950630",0,30,141.5,63520,1733352,191,65820,423300,217100000,5201423831,NA,NA,NA,NA,0,0,404,6767,7915000,83152085.08,0.3624,15.3,19.46,2422,238473.575463273,0.7249,16.43,20.59,2422,252257.49417079
"19950930",0,30,143.2,64340,1734149,189,67490,433600,2.18e+08,5267735627,NA,NA,NA,NA,0,0,414,6999,7922000,85027847.97,2.454,15.35,19.4,2291,235033.063917975,3.229,16.47,20.53,2291,248659.980184109
"19951231",0,31,145,64360,1735446,112,69240,445700,220100000,5350148097,"0","39670","310600","177300000",3718131516.91,0,417,7180,6943000,86186441.29,0.5366,15.21,19.47,2229,233074.254811431,1.073,16.31,20.59,2229,246471.257518342
"19960331",0,31,145.4,66140,1722712,108,69600,449400,221200000,5336236516,NA,NA,NA,NA,0,0,423,7396,6969000,87818079.16,-0.8719,15.31,19.6,1060,232106.737519465,-0.8719,16.42,20.72,1060,245378.127164442
"19960630",0,31,149.2,67560,1741516,108,69850,464300,226900000,5430963298,NA,NA,NA,NA,0,0,429.2,7759,7003000,90763881.45,-2.767,15.24,19.81,2255,231226.396049877,-3.757,16.36,20.93,2255,244245.14389349
"19960930",0,31,150.3,68780,1735810,112,71070,475500,261900000,5504345669,NA,NA,NA,NA,0,0,439,8029,7794000,92940533.62,2.308,15.13,20.13,2477,232506.312265221,3.578,16.25,21.25,2477,245369.194161574
"19961231",0,31,152.2,68560,1743507,112,72170,489500,272400000,5619431570,"10.6","42440","348900","207700000",3995427209.94,0,442,8406,7827000,96495787.92,0.3496,15.02,21.3,17700,244000.705694839,0.6992,16.13,22.42,17700,256759.699675898
"19970331",0,31,154.2,69980,1748360,114,72000,499500,270900000,5675870855,NA,NA,NA,NA,0,0,443,8676,7821000,98582620.64,-31.93,15.18,20.41,3383,231458.886654922,-32.23,16.32,21.53,3383,244088.150416065
"19970630",0,31,158,71990,1762979,115,72390,519600,280700000,5811957571,NA,NA,NA,NA,0,0,449,8988,7714000,100545117.36,-4.241,15.05,20.37,4995,227360.160108473,-4.241,16.19,21.47,4995,239659.725717338
"19970930",0,31,160.5,73120,1770294,1132,72870,534000,291500000,5902380726,NA,NA,NA,NA,0,0,452.6,9242,7935000,102149596.48,-0.4834,15.05,20.3,2452,223910.356512309,-0.4834,16.17,21.4,2452,235994.915573748
"19971231",0,31,163.4,74290,1784482,1,74370,552900,297100000,6052421759,"1","45310","404200","231400000",4415369194.92,0,460,9969,8178000,109119076.19,-0.6476,14.91,20.18,2371,220403.545178694,-0.6476,16.03,21.28,2371,232411.485208656
"19980331",0,31,167.2,75770,1802023,886,75440,570300,298700000,6161188620,NA,NA,NA,NA,0,0,468,10590,8491000,114367286.05,-0.7444,14.95,19.96,1369,215168.819023932,-0.7444,16.09,21.06,1369,227063.306057998
"19980630",0,32,172,81210,1842567,781,76350,581100,302200000,6238459974,NA,NA,NA,NA,0,0,476,10870,8437000,116741568.89,-0.8473,14.88,20.49,4315,219494.643179697,-0.8473,16,21.58,4315,231228.824793263
"19980930",0,31,173.5,85660,1843713,788,77070,595300,296100000,6337440764,NA,NA,NA,NA,0,0,490,11240,8867000,119659289.2,-1.353,14.86,20.58,4458,218670.088247159,-1.353,15.99,21.72,4506,230777.818500629
"19981231",0,31,178.1,88980,1863910,788,79480,623800,317100000,6540140454,"72","47950","461800","250200000",4831819248.92,0,498.1,11890,9493000,124699209.21,-3.523,14.65,22.04,9332,230657.285435163,-3.523,15.74,23.19,9332,242624.657016303
"19990331",0,31,179,88200,1860276,1013,79410,627500,317300000,6532076830,NA,NA,NA,NA,0,0,500.4,11990,9569000,124821965.17,-0.6243,14.79,21.92,13240,227755.736982175,-0.6243,15.93,23.07,13240,239676.894967578
"19990630",0,32,180.5,90380,1864605,1058,80660,638200,322900000,6603829364,NA,NA,NA,NA,0,0,509,12160,9605000,125796356.79,-6.694,14.55,24.33,24030,251251.41378695,-6.694,15.66,25.46,24030,262988.21376567
"19990930",0,31,182.9,152800,1878658,1053,81740,647700,563200000,6664526584,NA,NA,NA,NA,0,0,521,12390,15270000,127466819.77,-25.73,14.45,24.38,30970,250371.951796992,-25.73,15.55,25.5,30970,261954.588268859
"19991231",0,32,186,149800,1901596,1239,82410,673200,571700000,6893244414,"74","51430","508900","496100000",5201695169.75,0,531,12620,15570000,129255998.98,-17.29,14.24,24.22,39660,247612.840000781,-17.29,15.34,25.35,39660,259127.596788237
"20000331",0,31,186.5,147300,1893838,1001,82630,689600,585400000,7013717395,NA,NA,NA,NA,0,0,537,13000,15480000,132257712.59,2.893,14.22,24.1,34680,244681.573567437,4.176,15.33,25.22,34680,256040.165397498
"20000630",0,32,188.5,145000,1904616,982,83420,708800,604700000,7172626313,NA,NA,NA,NA,0,0,550,13420,15450000,135795306.26,-4.258,14.01,24.84,43330,250902.972215937,-4.258,15.11,25.95,43330,262112.645084571
"20000930",0,32,190.2,137000,1900070,999,84690,727400,607100000,7278366853,NA,NA,NA,NA,0,0,562,13900,15500000,139081847.83,2.81,13.96,29.26,44730,292297.965781682,4.097,15.08,30.38,44730,303478.771670539
"20001231",0,32,193.3,134000,1914517,1297,85910,753200,584300000,7471626862,"56","55430","571100","507900000",5655956482.87,0,572,14400,15790000,142833553.98,-3.501,13.81,25.76,56120,255114.186645701,-3.501,14.92,26.89,56120,266302.532857495
"20010331",0,32,196.9,134000,1933464,1350,87360,770700,553500000,7581837189,NA,NA,NA,NA,0,0,581,14840,15640000,145783227,-0.1942,13.93,24.93,45080,244895.178266076,-0.1942,15.02,26.06,45080,255980.853682222
"20010630",0,32,200.5,135000,1954156,1349,88420,783000,563800000,7644791510,NA,NA,NA,NA,0,-5720,598,15140,15520000,147597053,-733.3,13.74,26.15,56070,254866.191041218,-1467,14.83,27.2,56070,265116.076433709
"20010930",0,32,199.4,135000,1934356,1264,90640,808400,5.75e+08,7855742652,NA,NA,NA,NA,0,0,608,15620,15430000,151569506,-857.2,13.71,25.88,58890,251098.292304883,-857.2,14.8,27.01,58890,262077.667297676
"20011231",0,32,204.7,134000,1967622,101,92790,818200,551600000,7878812197,"22","60520","610200","455700000",5866789217,0,620.5,16140,15060000,155140062,-1065,13.61,19.89,9896,191200.848448863,-1065,14.7,21.02,9896,202125.218416151
"20020331",0,33,209.4,132200,1994168,544,93510,821300,541300000,7832930225,"109","60940","610000","444200000",5807816894,0,633,16160,15290000,153904400,-14.69,13.75,18.99,1697,180805.256718149,-14.69,14.89,20.14,1697,191730.983848341
"20020630",0,33,212.3,131800,2009898,528,95240,848900,581400000,8049004882,"27","62390","621600","4.55e+08",5883866516,0,650,16330,15530000,154626465,1.579,13.72,19.83,9704,187726.730464008,2.866,14.83,20.98,9704,198565.430960344
"20020930",0,33,212.8,130100,2003419,571,97420,878400,605100000,8284175757,"61","63780","636900","4.57e+08",5996478184,0,663,16440,1.6e+07,154822943,-7.206,13.76,19.52,4338,183760.348571842,-7.206,14.88,20.66,4338,194551.987761794
"20021231",0,34,215.7,129500,2017651,560,100100,901600,6.22e+08,8447180646,"122","64890","658600","465400000",6160568832,0,677,17040,16600000,159427458,-2.365,13.72,19.11,2343,178764.69187418,-2.365,14.83,20.27,2343,189619.358088845
"20030331",0,34,218,124200,2029963,559,102000,923800,621200000,8616975720,"114","65760","664400","468400000",6187684856,0,694,17380,16500000,161826790,4.819,13.81,19.03,796.9,177240.425570314,5.254,14.92,20.19,796.9,188074.953328989
"20030630",0,34,225.4,125500,2089044,560,103800,962500,661400000,8934125273,"27","67420","687800","490900000",6374879140,0,711,17800,16500000,165013134,0.8681,13.77,20.43,10110,189352.230685062,1.736,14.87,21.59,10110,200115.99285882
"20030930",0,34,221.1,128300,2042228,560,104500,967900,638100000,8953058855,"75","68300","695200","4.85e+08",6420711642,0,726.5,17910,16600000,165441526,-14.2,13.87,20.31,4816,187559.955996973,-14.2,15,21.48,4816,198364.935144921
"20031231",0,34,222.9,132900,2046006,560,106000,988200,628700000,9085782353,"61","69540","716200","480800000",6575615406,0,731,18210,17810000,167190246,-1.404,13.82,20.06,4223,184152.06139259,-1.404,14.95,21.23,4223,194876.842913851
"20040331",0,35,232.2,157800,2116955,560,108000,1028000,690600000,9386405094,"70","70350","738000","4.99e+08",6727367703,0,741.5,18160,17890000,165538441,-2.236,13.95,20.26,4690,184710.152770995,-2.236,15.07,21.43,4690,195374.404645157
"20040630",0,35,231.4,166900,2100293,560,108400,1063000,706900000,9659769454,"67","72100","760200","502400000",6900768503,0,755,18800,19200000,170708939,0.4212,13.8,20.25,5654,183824.320610933,0.8424,14.92,21.41,5654,194354.97839079
"20040930",0,35,231.9,170600,2092598,560,110200,1094000,740700000,9887470490,"64","73780","787500","540200000",7106349302,0,766,18860,19510000,170203869,1.877,13.87,20.56,7272,185546.589649138,3.282,14.98,21.71,7272,195878.713209589
"20041231",0,35,233.6,173400,2096975,551,112400,1126000,967400000,10117461821,"61","75360","814900","670300000",7314132941,0,773,19920,22990000,178780890,1.389,13.79,20.21,6154,181370.228985158,2.691,14.9,21.35,6154,191623.350885813
"20050331",0,35,235.7,175400,2104618,525,114000,1151000,9.83e+08,10296843308,"105","76270","830500","679700000",7417124546,0,785,20440,22370000,182584724,2.092,13.87,19.94,2521,178091.099350074,3.428,15.01,21.07,2521,188184.746050675
"20050630",0,36,240.2,180200,2130266,517,115200,1181000,1.048e+09,10485302566,"67","77560","865500","753300000",7675292825,0,797,20480,22180000,181610344,2.868,13.81,20.76,6727,184088.339538006,4.315,14.93,21.88,6727,194023.29387843
"20050930",0,36,241.4,181800,2137988,2517,117700,1208000,1.057e+09,10713170811,"64","79440","897000","775700000",7946026739,0,810,20880,22340000,184966529,3.889,13.79,20.94,7814,185495.988345318,5.15,14.89,22.05,7814,195330.160737913
"20051231",0,36,243.5,184500,2150485,2289,119600,1232000,1.082e+09,10894972953,"33","81300","921600","799200000",8140640273,0,825,21470,23180000,189632484,3.331,13.73,22.43,10610,198116.716313536,4.214,14.83,23.53,10610,207881.05909468
"20060331",0,36,247.2,189500,2172809,2659,121200,1275000,1.105e+09,11225182066,"70","82170","940900","789600000",8270438401,0,844,22070,23230000,194036615,3.187,13.72,21.47,8290,188710.154177213,4.552,14.85,22.57,8290,198410.053967347
"20060630",0,36,250.5,198200,2198487,2307,121900,1313000,1.16e+09,11541768333,"67","84050","970500","820800000",8518194292,0,857,23000,24780000,201874362,0.1665,13.69,21.74,8907,190770.30738963,0.3329,14.78,22.83,8907,200402.933723146
"20060930",0,36,251.2,204100,2196254,2286,123800,1345000,1.186e+09,11771167292,"91","86160","1001000","842900000",8750821704,0,871,23570,25110000,206040456,-1.185,13.74,21.1,3988,184501.877910159,-1.185,14.86,22.2,3988,194096.663047217
"20061231",0,36,254.2,202900,2206655,2102,125900,1367000,1.196e+09,11881703092,"87","87540","1023000","855900000",8880952203,0,879,25300,29280000,219638713,0,13.69,21.65,5468,187929.593802679,0,14.76,22.74,5468,197406.899555121
"20070331",0,37,257.1,214800,2223383,2104,128200,1386000,1.224e+09,11999395843,"96","88540","1041000","886400000",8999965708,0,891,25840,30010000,223478507,1.376,13.72,21.3,4832,184200.007710668,2.633,14.8,22.38,4832,193589.417946324
"20070630",0,37,257.8,209800,2220906,2101,128700,1424000,1.252e+09,12278222338,"116","90500","1080000","917300000",9306269889,0,896,26970,32920000,232288720,0.9896,13.68,20.67,3247,178011.768595287,1.979,14.75,21.74,3247,187282.601638669
"20070930",0,37,259.4,215700,2220522,1000,130100,1485000,1.29e+09,12726011663,"37","92000","1124000","9.36e+08",9619277775,0,906,28540,36360000,244254790,1.09,13.69,23.14,11790,198032.684428775,2.18,14.75,24.2,11790,207156.513605032
"20071231",0,37,259.6,214000,2215029,1000,132000,1527000,1.319e+09,13050535122,"59","93950","1149000","9.5e+08",9808791328,0,925,30770,39660000,262572728,2.09,13.47,21.91,7127,186976.10512755,3.09,14.52,22.97,7127,196030.331793894
"20080331",0,37,260.5,200600,2212503,1000,134900,1574000,1.408e+09,13388496525,"63","95600","1174000","974900000",9973256746,0,935,32020,40420000,272019900,-0.3833,13.37,21.25,6175,180488.456922652,-0.3833,14.44,22.31,6175,189492.516536407
"20080630",0,38,260.8,195400,2203854,1000,137600,1574000,1.378e+09,13317359625,"0","97930","1186000","1.003e+09",10026026064,0,962,32860,39740000,277695253,0.8581,13.23,19.98,5457,168800.851289671,1.716,14.29,21.04,5457,177787.81045644
"20080930",0,37,259,184100,2170931,1000,138200,1622000,1.769e+09,13611999163,"66","99070","1192000","1.229e+09",9993133367,0,983,32910,43380000,275914711,-29.81,13.15,19.76,5970,165657.317786952,-29.81,14.24,20.84,5970,174665.517528617
"20081231",0,37,259.1,176000,2151758,66,141400,1671000,1.746e+09,13893882069,"66","100700","1207000","1.167e+09",10022354954,0,1032,34090,43240000,283139089,-58.49,12.92,19.31,4988,160338.877150133,-58.49,14.04,20.4,4988,169460.552529373
"20090331",0,37,256.4,172500,2114901,1859,145700,1645000,1.688e+09,13579965369,"77","101200","1208000","1.128e+09",9963823935,-1589,1050,32950,42580000,271703169,-19.77,13.1,18.75,5179,154658.24669646,-19.77,14.22,19.86,5179,163812.868962264
"20090630",0,37,255.4,179300,2093066,3028,145900,1622000,1.664e+09,13307853161,"81","101700","1198000","1.092e+09",9815011838,-1464,1078,32550,41230000,266717281,-14.69,13.06,19.92,12620,163242.185854192,-14.69,14.2,21.04,12620,172392.798104861
"20090930",0,37,255.5,179500,2069470,3073,149000,1634000,1.67e+09,13247410085,"76","103000","1182000","1.074e+09",9574680376,-875,1107,31790,4.1e+07,257462461,-16.77,13.21,20.42,15400,165405.122517969,-16.77,14.36,21.55,15400,174572.348171518
"20091231",0,37,257.5,180400,2062950,3033,151500,1635000,1.628e+09,13111534882,"81","103500","1188000","1.086e+09",9520068302,0,1132,31680,40270000,253822080,-124.3,13.21,18.66,4951,149504.514768964,-124.3,14.38,19.81,4951,158687.772261511
"20100331",0,37,255.5,193400,2027245,107,153200,1682000,1.675e+09,13364022185,"10","103600","1169000","1.08e+09",9278346563,0,1150,31100,39390000,246730214,-2300,13.52,18.26,4894,144848.167324046,-2300,14.73,19.42,4894,154041.917263612
"20100630",0,37,259.8,195600,2034283,2898,152700,1687000,1.568e+09,13223598505,"86","103600","1166000","1.073e+09",9128100300,0,1149,31080,38100000,243348263,-8.66,13.74,20.02,11230,156748.645080194,-8.66,14.93,21.18,11230,165876.128133499
"20100930",0,37,263.4,196600,2044137,1942,154100,1725000,1.643e+09,13401411130,"86","103600","1177000","1.049e+09",9137750986,0,1158,31000,3.9e+07,240554902,-18.96,13.95,22.38,22800,173676.863183783,-18.96,15.15,23.57,22800,182930.777978291
"20101231",0,37,272.7,231300,2088579,1391,154200,1741000,1.632e+09,13349410378,"90","103200","1195000","1.06e+09",9147628461,0,1146,30900,38680000,236608536,-13.35,14.06,21.34,16090,163436.935942243,-13.35,15.26,22.51,16090,172355.936913204
"20110331",0,37,276.6,230600,2094710,113,156000,1773000,1.723e+09,13445031211,"75","102300","1203000","1.067e+09",9108723894,0,1156,30190,38950000,228645793,-14.89,14.43,22.7,23880,171962.228259178,-14.89,15.62,23.87,23880,180805.972017144
"20110630",0,37,280.4,227400,2106615,91,155200,1813000,1.791e+09,13636269816,"58","102000","1222000","1.058e+09",9181236703,0,1157,29850,38040000,224238734,-6.15,14.55,22.36,17590,168019.002364529,-6.15,15.76,23.53,17590,176777.635375269
"20110930",0,37,283.6,225000,2109352,68,158200,1860000,1.826e+09,13847361164,"48","102100","1245000","1.053e+09",9256326442,0,1163,29590,37520000,220088109,-8.061,14.9,26.64,29360,198115.446790125,-8.061,16.11,27.8,29360,206779.123250829
"20111231",0,38,286.6,225900,2108598,3015,160100,1892000,1.812e+09,13938936905,"284","103200","1278000","1.043e+09",9405497301,0,1168,29490,37590000,216934210,-13.52,14.93,21.04,18540,154824.151518453,-13.52,16.14,22.21,18540,163376.054241834
"20120331",0,38,287.7,225800,2102280,742,162900,1913000,1.843e+09,13997147386,"148","103000","1286000","1.117e+09",9399358919,0,1173,28870,38590000,211010051,-7.611,15.14,19.65,6397,143624.339264294,-7.611,16.34,20.82,6397,152150.317419549
"20120630",0,38,291,224500,2108194,3087,163100,1946000,1.813e+09,14117566783,"605","104100","1311000","1.13e+09",9496520746,0,1185,27270,37050000,197564601,-14.34,15.21,20.53,6343,148731.987944713,-14.34,16.42,21.69,6343,157160.840945257
"20120930",0,39,293.3,226400,2105843,3057,165600,1988000,1.85e+09,14290472254,"403","105500","1331000","1.111e+09",9559725335,0,1192,26630,35930000,191199146,-7.049,15.42,20.94,6834,150385.333411328,-7.049,16.57,22.12,6834,158840.492748166
"20121231",0,39,297.9,227800,2110276,207,168000,2046000,1.897e+09,14510953710,"7","106200","1364000","1.096e+09",9661283989,0,1196,27840,35070000,197190034,0.04049,15.3,21.22,4974,150300.617889389,0.08097,16.48,22.41,4974,158765.419495705
"20130331",0,39,299.6,231100,2102820,200,168800,2062000,1.948e+09,14490151221,"0","106800","1407000","1.214e+09",9873700263,0,1193,28150,36360000,197610756,-4.051,15.53,20.76,8169,145700.089949672,-4.051,16.71,21.92,8169,153801.562548846
"20130630",0,40,302.2,230500,2097284,237,168900,2082000,1.948e+09,14467135770,"0","108700","1445000","1.241e+09",10031388032,0,1210,28250,34990000,196078385,-0.3141,15.52,20.54,7667,142556.858752227,-0.3141,16.7,21.69,7667,150513.688777075
"20130930",0,40,301.9,226200,2080363,212,169700,2126000,1.99e+09,14672401675,"13","110400","1462000","1.196e+09",10076216100,0,1229,27620,30900000,190328338,-192.3,15.56,20.63,7782,142139.846367158,-192.3,16.71,21.77,7782,150003.881696839
"20131231",0,40,303.7,223000,2068719,259,171100,2171000,1.945e+09,14806582969,"54","111200","1500000","1.203e+09",10216339004,0,1232,27210,26570000,185383648,-4.074,15.45,21.11,10530,143834.218214919,-4.074,16.6,22.25,10530,151542.751233764
"20140331",0,40,305.9,221400,2058878,320,173300,2225000,1.97e+09,14996206637,"0","112000","1531000","1.238e+09",10306685008,0,1242,26500,25530000,178372632,-8.723,15.62,21.43,11250,144216.177523164,-8.723,16.82,22.57,11250,151847.127470356
"20140630",0,41,309.5,227200,2059827,3592,174400,2292000,2.002e+09,15276743005,"350","113600","1608000","1.349e+09",10703268149,0,1258,23970,24820000,159534915,1.112,15.56,21.11,10860,140476.955835977,2.225,16.69,22.23,10860,147953.316677597
"20140930",0,41,310.9,227400,2048640,3601,177600,2343000,2.009e+09,15458776594,"274","116000","1640000","1.332e+09",10808846826,0,1274,23560,24680000,155211943,-4.816,15.54,21.76,14530,143353.659680404,-4.816,16.66,22.87,14530,150696.431068883
"20141231",0,41,314.6,227900,2047945,3619,180900,2401000,2.075e+09,15650466109,"206","118000","1684000","1.33e+09",10961847936,0,1279,24610,24150000,160176468,-0.7799,15.43,23.52,26020,153098.510325053,-0.7799,16.59,24.63,26020,160292.294534582
